name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Rogers RT/duroid 5870 (tm),,,,,,,,2.33,,Rogers RT/duroid 5870 (tm),,,,Conductor,
Rogers RT/duroid 5880 (tm),,,,,,,,2.2,,Rogers RT/duroid 5880 (tm),,,,Conductor,
Rogers RT/duroid 6002 (tm),,,,,,,,2.94,,Rogers RT/duroid 6002 (tm),,,,Conductor,
Rogers RT/duroid 6006 (tm),,,,,,,,6.15,,Rogers RT/duroid 6006 (tm),,,,Conductor,
Rogers RT/duroid 6010/6010LM (tm),,,,,,,,10.2,,Rogers RT/duroid 6010/6010LM (tm),,,,Conductor,
Rogers TMM 10 (tm),,,,,,,,9.2,,Rogers TMM 10 (tm),,,,Conductor,
Rogers TMM 10i (tm),,,,,,,,9.8,,Rogers TMM 10i (tm),,,,Conductor,
Rogers TMM 3 (tm),,,,,,,,3.27,,Rogers TMM 3 (tm),,,,Conductor,
Rogers TMM 4 (tm),,,,,,,,4.5,,Rogers TMM 4 (tm),,,,Conductor,
Rogers TMM 6 (tm),,,,,,,,6,,Rogers TMM 6 (tm),,,,Conductor,
Rogers Ultralam 1250 (tm),,,,,,,,2.5,,Rogers Ultralam 1250 (tm),,,,Conductor,
Rogers Ultralam 1300 (tm),,,,,,,,3,,Rogers Ultralam 1300 (tm),,,,Conductor,
Rogers Ultralam 2000 (tm),,,,,,,,2.5,,Rogers Ultralam 2000 (tm),,,,Conductor,
Rogers Ultralam1217 (tm),,,,,,,,2.17,,Rogers Ultralam1217 (tm),,,,Conductor,
Rubber-Plyspr natural,,,,,,,,,,Rubber-Plyspr natural,,,,Conductor,
Rubber-Polyisoprene-hard,,,,,,,,,,Rubber-Polyisoprene-hard,,,,Conductor,
Rubber-buna-carbon black,,,,,,,,,,Rubber-buna-carbon black,,,,Conductor,
Rubber-natural,,,,,,,,,,Rubber-natural,,,,Conductor,
Ruber-dielectric,,,,,,,,,,Ruber-dielectric,,,,Conductor,
SAC405,48,,167,,8000,,,,,SAC405,,,,Conductor,
STABLCOR_ST10,,,,,,,,,,STABLCOR_ST10,,,,Conductor,
STABLCOR_ST175,,,,,,,,,,STABLCOR_ST175,,,,Conductor,
STABLCOR_ST250,,,,,,,,,,STABLCOR_ST250,,,,Conductor,
STABLCOR_ST325,,,,,,,,,,STABLCOR_ST325,,,,Conductor,
STABLCOR_ST500,,,,,,,,,,STABLCOR_ST500,,,,Conductor,
Sheldahl ComClad HF (tm),,,,,,,,2.6,,Sheldahl ComClad HF (tm),,,,Conductor,
Si-Typical,,,,,,,,,,Si-Typical,,,,Conductor,
Si-Typical_Ref,,,,,,,,,,Si-Typical_Ref,,,,Conductor,
SiC,120,,750,,3200,,,,,SiC,,,,Semiconductor,
SiC-kt grade,,,,,,,,,,SiC-kt grade,,,,Conductor,
SiC-single xtal,,,,,,,,,,SiC-single xtal,,,,Conductor,
SiC-slf bnd_ he atm,,,,,,,,,,SiC-slf bnd_ he atm,,,,Conductor,
Silicone Resin-JSME,,,,,,,,,,Silicone Resin-JSME,,,,Conductor,
SmCo24,,,,,,,,,,SmCo24,,,,Conductor,
SmCo28,,,,,,,,,,SmCo28,,,,Conductor,
Solder Alloy 99C Sn-0.7Cu,,,,,,,1.33E-07,,,Solder Alloy 99C Sn-0.7Cu,,,,Conductor,
Solder Castin-TM Sn-2.5Ag-0.8Cu-0.5Sb,,,,,,,1.21E-07,,,Solder Castin-TM Sn-2.5Ag-0.8Cu-0.5Sb,,,,Conductor,
Solder Ecosol TSC Sn-3.8Ag-0.7Cu,,,,,,,1.33E-07,,,Solder Ecosol TSC Sn-3.8Ag-0.7Cu,,,,Conductor,
Solder Eutectic Sn-37 Pb,,,,,400,,1.45E-07,,,Solder Eutectic Sn-37 Pb,200000000,0.4,4.00E-06,Conductor,
Solder Lead-Free Sn-3.5Ag,,,,,,,1.23E-07,,,Solder Lead-Free Sn-3.5Ag,,,,Conductor,
Solder Lead-Free Sn-3.5Ag-0.7Cu,,,,,,,1.33E-07,,,Solder Lead-Free Sn-3.5Ag-0.7Cu,,,,Conductor,
Solder-pb37.5_sn37.5_in25,,,,,,,,,,Solder-pb37.5_sn37.5_in25,,,,Conductor,
Solder-pb39.2_sn60.8,,,,,,,,,,Solder-pb39.2_sn60.8,,,,Conductor,
Solder-pb50_sn50,,,,,,,,,,Solder-pb50_sn50,,,,Conductor,
SolderMask,,,,,,,,,,SolderMask,,,,Conductor,
Steel-300m-high strength,,,,,,,,,,Steel-300m-high strength,,,,Conductor,
Steel-Carbon,,,,,,,,,,Steel-Carbon,,,,Conductor,
Steel-Carbon-1020,,,,,,,,,,Steel-Carbon-1020,,,,Conductor,
Steel-Cast,,,,,,,,,,Steel-Cast,,,,Conductor,
Steel-Chrome,,,,,,,,,,Steel-Chrome,,,,Conductor,
Steel-Chromenickel,,,,,,,,,,Steel-Chromenickel,,,,Conductor,
Steel-Nickel(10Ni),,,,,,,,,,Steel-Nickel(10Ni),,,,Conductor,
Steel-Stainless,,,,,,,,,,Steel-Stainless,,,,Conductor,
Steel-Stainless-300,,,,,,,,,,Steel-Stainless-300,,,,Conductor,
Steel-stainless-400,,,,,,,,,,Steel-stainless-400,,,,Conductor,
Substrate_material,,,,,,,,,,Substrate_material,,,,Conductor,
Taconic CER-10 (tm),,,,,,,,10,,Taconic CER-10 (tm),,,,Conductor,
Taconic RF-30 (tm),,,,,,,,3,,Taconic RF-30 (tm),,,,Conductor,
Taconic RF-35 (tm),,,,,,,,3.5,,Taconic RF-35 (tm),,,,Conductor,
Taconic RF-60 (tm),,,,,,,,6.15,,Taconic RF-60 (tm),,,,Conductor,
Taconic TLC (tm),,,,,,,,3.2,,Taconic TLC (tm),,,,Conductor,
Taconic TLE (tm),,,,,,,,2.95,,Taconic TLE (tm),,,,Conductor,
Taconic TLT (tm),,,,,,,,2.55,,Taconic TLT (tm),,,,Conductor,
Taconic TLX (tm),,,,,,,,2.55,,Taconic TLX (tm),,,,Conductor,
Taconic TLY (tm),,,,,,,,2.2,,Taconic TLY (tm),,,,Conductor,
Tantalum Nitride,58,,140,,16600,,0.000135135,,,Tantalum Nitride,1.90E+11,0.35,6.60E-06,Conductor,
